Keyword,Raphael,Viktor,Zijing,Kanushree,Adam,StdDev
change,0,1,1,0,0,0.5477225575051662
science,1,1,1,0,0,0.5477225575051662
scientists,1,1,1,0,0,0.5477225575051662
scientific,1,1,0,0,0,0.5477225575051662
rise,0,1,1,0,0,0.5477225575051662
impacts,1,1,0,0,0,0.5477225575051662
global,1,1,0,1,0,0.5477225575051662
causes,1,1,0,0,0,0.5477225575051662
deniers,1,1,1,0,0,0.5477225575051662
denier,1,1,1,0,0,0.5477225575051662
alarmists,1,1,0,0,1,0.5477225575051662
alarmist,1,1,0,0,1,0.5477225575051662
skeptics,1,1,1,0,0,0.5477225575051662
agriculture,1,1,1,0,0,0.5477225575051662
habitat,1,1,0,0,1,0.5477225575051662
currents,1,1,0,0,0,0.5477225575051662
overpopulation,1,0,0,0,1,0.5477225575051662
power,0,1,0,0,1,0.5477225575051662
world,0,1,1,0,0,0.5477225575051662
water,0,1,1,0,0,0.5477225575051662
green,0,1,1,1,0,0.5477225575051662
sea,1,1,1,0,0,0.5477225575051662
electricity,1,1,1,0,0,0.5477225575051662
winter,1,1,1,0,0,0.5477225575051662
humans,1,1,0,0,0,0.5477225575051662
population,1,1,0,0,0,0.5477225575051662
